dataset,target,control_id,control_family,subject_count,row_count,text_unit_count_min,text_unit_count_mean,text_unit_count_max,retained_text_unit_count_min,retained_text_unit_count_mean,retained_text_unit_count_max,removed_text_unit_count_mean,empty_document_count,train_subjects,validation_subjects
E-DAIC,phq8_total,back_25,position_slice,219,219,42,93.662100456621,203,11,23.77625570776256,51,69.88584474885845,0,163,56
E-DAIC,phq8_total,front_25,position_slice,219,219,42,93.662100456621,203,11,23.77625570776256,51,69.88584474885845,0,163,56
E-DAIC,phq8_total,full_dialogue,available_transcript,219,219,42,93.662100456621,203,42,93.662100456621,203,0.0,0,163,56
E-DAIC,phq8_total,middle_50,position_slice,219,219,42,93.662100456621,203,22,47.60730593607306,103,46.054794520547944,0,163,56
E-DAIC,phq8_total,train_repeated_turns_only,prompt_proxy,219,219,42,93.662100456621,203,2,10.80365296803653,27,82.85844748858447,0,163,56
E-DAIC,phq8_total,train_repeated_turns_removed,prompt_proxy,219,219,42,93.662100456621,203,38,82.85844748858447,190,10.80365296803653,0,163,56
E-DAIC,binary_label,back_25,position_slice,219,219,42,93.662100456621,203,11,23.77625570776256,51,69.88584474885845,0,163,56
E-DAIC,binary_label,front_25,position_slice,219,219,42,93.662100456621,203,11,23.77625570776256,51,69.88584474885845,0,163,56
E-DAIC,binary_label,full_dialogue,available_transcript,219,219,42,93.662100456621,203,42,93.662100456621,203,0.0,0,163,56
E-DAIC,binary_label,middle_50,position_slice,219,219,42,93.662100456621,203,22,47.60730593607306,103,46.054794520547944,0,163,56
E-DAIC,binary_label,train_repeated_turns_only,prompt_proxy,219,219,42,93.662100456621,203,2,10.80365296803653,27,82.85844748858447,0,163,56
E-DAIC,binary_label,train_repeated_turns_removed,prompt_proxy,219,219,42,93.662100456621,203,38,82.85844748858447,190,10.80365296803653,0,163,56
CMDC,binary_label,all_questions,all_questions,77,77,8,11.792207792207792,12,8,11.792207792207792,12,0.0,0,,
CMDC,binary_label,q01_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,binary_label,q01_q04,question_block,77,77,8,11.792207792207792,12,3,3.9740259740259742,4,7.818181818181818,0,,
CMDC,binary_label,q02_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,binary_label,q03_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,binary_label,q04_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,binary_label,q05_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,binary_label,q05_q08,question_block,77,77,8,11.792207792207792,12,3,3.961038961038961,4,7.8311688311688314,0,,
CMDC,binary_label,q06_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,binary_label,q07_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,binary_label,q08_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,binary_label,q09_only,question_position,77,77,8,11.792207792207792,12,0,0.948051948051948,1,10.844155844155845,4,,
CMDC,binary_label,q09_q12,question_block,77,77,8,11.792207792207792,12,0,3.857142857142857,4,7.935064935064935,1,,
CMDC,binary_label,q10_only,question_position,77,77,8,11.792207792207792,12,0,0.961038961038961,1,10.831168831168831,3,,
CMDC,binary_label,q11_only,question_position,77,77,8,11.792207792207792,12,0,0.974025974025974,1,10.818181818181818,2,,
CMDC,binary_label,q12_only,question_position,77,77,8,11.792207792207792,12,0,0.974025974025974,1,10.818181818181818,2,,
CMDC,phq9_total,all_questions,all_questions,77,77,8,11.792207792207792,12,8,11.792207792207792,12,0.0,0,,
CMDC,phq9_total,q01_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,phq9_total,q01_q04,question_block,77,77,8,11.792207792207792,12,3,3.9740259740259742,4,7.818181818181818,0,,
